,title,artist
0,All Too Well (Taylor's Version),Taylor Swift
1,Easy On Me,Adele
2,Stay,The Kid LAROI & Justin Bieber
3,Industry Baby,Lil Nas X & Jack Harlow
4,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
5,Bad Habits,Ed Sheeran
6,Shivers,Ed Sheeran
7,Heat Waves,Glass Animals
8,Need To Know,Doja Cat
9,Fancy Like,Walker Hayes
10,Cold Heart (PNAU Remix),Elton John & Dua Lipa
11,Way 2 Sexy,Drake Featuring Future & Young Thug
12,Good 4 U,Olivia Rodrigo
13,You Right,Doja Cat & The Weeknd
14,Essence,Wizkid Featuring Justin Bieber & Tems
15,Beggin',Maneskin
16,Levitating,Dua Lipa
17,State Of Grace (Taylor's Version),Taylor Swift
18,One Right Now,Post Malone & The Weeknd
19,Already Dead,Juice WRLD
20,Kiss Me More,Doja Cat Featuring SZA
21,I Bet You Think About Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Chris Stapleton
22,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak)
23,If I Didn't Love You,Jason Aldean & Carrie Underwood
24,Red (Taylor's Version),Taylor Swift
25,Save Your Tears,The Weeknd & Ariana Grande
26,Knife Talk,Drake Featuring 21 Savage & Project Pat
27,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
28,Better Days,NEIKED X Mae Muller X Polo G
29,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
30,Girls Want Girls,Drake Featuring Lil Baby
31,Cold As You,Luke Combs
32,Ghost,Justin Bieber
33,Love Nwantiti (Ah Ah Ah),CKay
34,Chasing After You,Ryan Hurd With Maren Morris
35,All I Want For Christmas Is You,Mariah Carey
36,My Universe,Coldplay x BTS
37,Buy Dirt,Jordan Davis Featuring Luke Bryan
38,Thats What I Want,Lil Nas X
39,Happier Than Ever,Billie Eilish
40,Pepas,Farruko
41,You Should Probably Leave,Chris Stapleton
42,Nothing New (Taylor's Version) (From The Vault),Taylor Swift Featuring Phoebe Bridgers
43,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage"
44,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift
45,I Knew You Were Trouble (Taylor's Version),Taylor Swift
46,Run (Taylor's Version) (From The Vault),Taylor Swift Featuring Ed Sheeran
47,Montero (Call Me By Your Name),Lil Nas X
48,Bad Man (Smooth Criminal),Polo G
49,Same Boat,Zac Brown Band
50,Better Man (Taylor's Version) (From The Vault),Taylor Swift
51,22 (Taylor's Version),Taylor Swift
52,Doin' This,Luke Combs
53,Treacherous (Taylor's Version),Taylor Swift
54,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift
55,No Love,Summer Walker & SZA
56,Wild Side,Normani Featuring Cardi B
57,Have Mercy,Chloe
58,I Almost Do (Taylor's Version),Taylor Swift
59,Chosen,Blxst & Tyga Featuring Ty Dolla $ign
60,The Very First Night (Taylor's Version) (From The Vault),Taylor Swift
61,Family Ties,Baby Keem & Kendrick Lamar
62,Everything Has Changed (Taylor's Version),Taylor Swift Featuring Ed Sheeran
63,Sand In My Boots,Morgan Wallen
64,Gyalis,Capella Grey
65,The Last Time (Taylor's Version),Taylor Swift Featuring Gary Lightbody Of Snow Patrol
66,Stay Stay Stay (Taylor's Version),Taylor Swift
67,After Last Night,Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins
68,Babe (Taylor's Version) (From The Vault),Taylor Swift
69,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk
70,Escape Plan,Travis Scott
71,One Mississippi,Kane Brown
72,Blast Off,Silk Sonic (Bruno Mars & Anderson .Paak)
73,Knowing You,Kenny Chesney
74,Skate,Silk Sonic (Bruno Mars & Anderson .Paak)
75,Holy Ground (Taylor's Version),Taylor Swift
76,Begin Again (Taylor's Version),Taylor Swift
77,Put On A Smile,Silk Sonic (Bruno Mars & Anderson .Paak)
78,Forever Winter (Taylor's Version) (From The Vault),Taylor Swift
79,Whiskey And Rain,Michael Ray
80,Fly As Me,Silk Sonic (Bruno Mars & Anderson .Paak)
81,Super Gremlin,Kodak Black
82,The Moment I Knew (Taylor's Version),Taylor Swift
83,The Lucky One (Taylor's Version),Taylor Swift
84,Sad Beautiful Tragic (Taylor's Version),Taylor Swift
85,Fair Trade,Drake Featuring Travis Scott
86,Come Back...Be Here (Taylor's Version),Taylor Swift
87,Sad Girlz Luv Money,Amaarae & Moliy Featuring Kali Uchis
88,Tequila Little Time,Jon Pardi
89,Starlight (Taylor's Version),Taylor Swift
90,Bubbly,Young Thug With Drake & Travis Scott
91,Ex For A Reason,Summer Walker & JT
92,Freedom Was A Highway,Jimmie Allen & Brad Paisley
93,La Fama,Rosalia Featuring The Weeknd
94,Big Energy,Latto
95,Moth To A Flame,Swedish House Mafia & The Weeknd
96,'Til You Can't,Cody Johnson
97,Woman,Doja Cat
98,Take My Breath,The Weeknd
99,For Tonight,Giveon
